INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (0, 'anel feito de ouro com diamante de tamanho A', 3541, '279');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (1, 'anel feito de ouro com diamante de tamanho B', 3406, '226');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (2, 'anel feito de ouro com diamante de tamanho E', 3181, '491');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (3, 'anel feito de ouro com rubi de tamanho A', 2936, '478');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (4, 'anel feito de ouro com rubi de tamanho B', 2801, '232');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (5, 'anel feito de ouro com rubi de tamanho C', 2696, '247');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (6, 'anel feito de ouro com rubi de tamanho D', 2621, '351');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (7, 'anel feito de ouro com rubi de tamanho E', 2576, '421');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (8, 'anel feito de ouro com safira de tamanho A', 2441, '280');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (9, 'anel feito de ouro com safira de tamanho B', 2306, '376');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (10, 'anel feito de ouro com safira de tamanho C', 2201, '441');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (11, 'anel feito de ouro com safira de tamanho D', 2126, '215');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (12, 'anel feito de ouro com safira de tamanho E', 2081, '429');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (13, 'anel feito de ouro com perola de tamanho A', 2056, '167');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (14, 'anel feito de ouro com perola de tamanho B', 1921, '464');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (15, 'anel feito de ouro com perola de tamanho C', 1816, '307');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (16, 'anel feito de ouro com perola de tamanho D', 1741, '429');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (17, 'anel feito de ouro com perola de tamanho E', 1696, '461');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (18, 'anel feito de ouro com esmeralda de tamanho A', 1781, '326');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (19, 'anel feito de ouro com esmeralda de tamanho B', 1646, '395');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (20, 'anel feito de ouro com esmeralda de tamanho C', 1541, '365');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (21, 'anel feito de ouro com esmeralda de tamanho D', 1466, '470');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (22, 'anel feito de ouro sem adorno de tamanho A', 1616, '176');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (23, 'anel feito de ouro sem adorno de tamanho B', 1481, '108');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (24, 'anel feito de ouro sem adorno de tamanho C', 1376, '304');
INSERT INTO ITENS (id, item, preco, quantidade_restante) VALUES (25, 'anel feito de ouro sem adorno de tamanho E', 1256, '107');
