INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (0, 205, 1, '2024-02-13', 'recebido', 1710);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (1, 389, 1, '2024-01-24', 'pagamento pendente', 840);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (2, 486, 1, '2024-04-15', 'pagamento pendente', 1131);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (3, 298, 2, '2024-05-20', 'pago', 1105);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (3, 328, 2, '2024-05-20', 'pago', 1105);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (3, 38, 1, '2024-05-20', 'pago', 1105);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (4, 430, 1, '2024-05-09', 'recebido', 1929);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (4, 431, 1, '2024-05-09', 'recebido', 1929);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (4, 303, 1, '2024-05-09', 'recebido', 1929);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (4, 347, 1, '2024-05-09', 'recebido', 1929);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (5, 430, 1, '2024-05-04', 'recebido', 1870);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (6, 264, 1, '2024-06-17', 'recebido', 1460);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (7, 492, 1, '2024-02-03', 'item enviado', 461);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (7, 48, 1, '2024-02-03', 'item enviado', 461);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (8, 250, 1, '2024-08-19', 'recebido', 1479);
INSERT INTO PEDIDOS (id, id_item, quantidade, data, status, id_usuario) VALUES (9, 404, 3, '2024-01-05', 'pagamento pendente', 1692);
